P001,Wireless Mouse,Electronics,20
P002,Ergonomic Chair,Office Furniture,5
P003,Mechanical Keyboard,Electronics,15
P004,Desk Lamp,Office Supplies,10
P005,USB-C Cable,Electronics,30
P006,External Hard Drive,Electronics,12
P007,Monitor Stand,Office Supplies,8
P008,Bluetooth Speaker,Electronics,25
P009,Fountain Pen,Office Supplies,50
P010,Notebook Journal,Office Supplies,40
P011,Noise Cancelling Headphones,Electronics,10
P012,Standing Desk,Office Furniture,4
P013,File Cabinet,Office Furniture,6
P014,HDMI Adapter,Electronics,35
P015,Stapler Black,Office Supplies,15
P016,Whiteboard Markers,Office Supplies,20
P017,Webcam 1080p,Electronics,15
P018,Laptop Stand,Office Supplies,12
P019,Paper Shredder,Office Furniture,5
P020,Desk Mat Large,Office Supplies,18
