WH-01,New York Hub,P001,12
WH-01,New York Hub,P002,8
WH-01,New York Hub,P003,25
WH-02,Los Angeles Logistics,P004,3
WH-02,Los Angeles Logistics,P005,50
WH-03,Chicago Depot,P006,7
WH-03,Chicago Depot,P007,15
WH-04,Houston Fulfillment,P008,30
WH-04,Houston Fulfillment,P009,12
WH-05,Phoenix Storage,P010,45
WH-05,Phoenix Storage,P011,8
WH-06,Philadelphia Center,P012,2
WH-06,Philadelphia Center,P013,10
WH-07,San Antonio Vault,P014,40
WH-07,San Antonio Vault,P015,9
WH-08,San Diego Station,P016,22
WH-08,San Diego Station,P017,11
WH-09,Dallas Crossdock,P018,5
WH-09,Dallas Crossdock,P019,7
WH-10,San Jose Annex,P020,3
WH-10,San Jose Annex,P001,45
